id,date,block,iucr,primary_type,description,location_description,year,latitude,longitude,location
7877674,2011-01-06T15:30:00.000,009XX N MICHIGAN AVE,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,2011,41.899410159,-87.624131266,"{'latitude': '41.899410159', 'longitude': '-87.624131266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7877729,2011-01-05T17:00:00.000,006XX N MICHIGAN AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,2011,41.892753031,-87.624193896,"{'latitude': '41.892753031', 'longitude': '-87.624193896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7877816,2011-01-05T17:00:00.000,008XX N MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,2011,41.89804054,-87.624091323,"{'latitude': '41.89804054', 'longitude': '-87.624091323', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7877887,2011-01-06T17:45:00.000,001XX E CHICAGO AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.896714548,-87.625340136,"{'latitude': '41.896714548', 'longitude': '-87.625340136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7877959,2011-01-06T22:30:00.000,009XX N MICHIGAN AVE,1505,PROSTITUTION,CALL OPERATION,HOTEL/MOTEL,2011,41.899552895,-87.624137033,"{'latitude': '41.899552895', 'longitude': '-87.624137033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7878036,2011-01-06T22:20:00.000,005XX N RUSH ST,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,HOTEL/MOTEL,2011,41.892002902,-87.625373807,"{'latitude': '41.892002902', 'longitude': '-87.625373807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7879003,2011-01-05T11:50:00.000,008XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,DEPARTMENT STORE,2011,41.897837503,-87.624097243,"{'latitude': '41.897837503', 'longitude': '-87.624097243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7879009,2011-01-07T13:40:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.897837503,-87.624097243,"{'latitude': '41.897837503', 'longitude': '-87.624097243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7879055,2011-01-07T15:15:00.000,007XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.896010965,-87.624279065,"{'latitude': '41.896010965', 'longitude': '-87.624279065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7879189,2011-01-07T18:20:00.000,006XX N RUSH ST,1330,CRIMINAL TRESPASS,TO LAND,OTHER,2011,41.892722047,-87.625398921,"{'latitude': '41.892722047', 'longitude': '-87.625398921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7879192,2011-01-07T17:40:00.000,009XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.899410159,-87.624131266,"{'latitude': '41.899410159', 'longitude': '-87.624131266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7879839,2011-01-07T15:45:00.000,008XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,OTHER,2011,41.898767916,-87.624116333,"{'latitude': '41.898767916', 'longitude': '-87.624116333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7879897,2011-01-08T10:00:00.000,009XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,2011,41.899410159,-87.624131266,"{'latitude': '41.899410159', 'longitude': '-87.624131266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7880060,2011-01-06T15:00:00.000,007XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,2011,41.895140898,-87.624255632,"{'latitude': '41.895140898', 'longitude': '-87.624255632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7880066,2011-01-08T12:45:00.000,008XX N RUSH ST,0810,THEFT,OVER $500,RESTAURANT,2011,41.897211487,-87.625823165,"{'latitude': '41.897211487', 'longitude': '-87.625823165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7880098,2011-01-05T19:30:00.000,005XX N MICHIGAN AVE,0810,THEFT,OVER $500,STREET,2011,41.891984471,-87.62416567,"{'latitude': '41.891984471', 'longitude': '-87.62416567', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7880197,2011-01-08T14:15:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.897982937,-87.624095634,"{'latitude': '41.897982937', 'longitude': '-87.624095634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7880215,2011-01-08T15:50:00.000,008XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,CONVENIENCE STORE,2011,41.897297288,-87.62416199,"{'latitude': '41.897297288', 'longitude': '-87.62416199', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7880270,2011-01-08T18:00:00.000,004XX N MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,2011,41.890455604,-87.6241128,"{'latitude': '41.890455604', 'longitude': '-87.6241128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7880359,2011-01-08T17:30:00.000,008XX N MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER,2011,41.89804054,-87.624091323,"{'latitude': '41.89804054', 'longitude': '-87.624091323', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7880411,2011-01-08T16:00:00.000,006XX N ST CLAIR ST,0890,THEFT,FROM BUILDING,RESTAURANT,2011,41.894563504,-87.622745105,"{'latitude': '41.894563504', 'longitude': '-87.622745105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7880554,2011-01-08T20:00:00.000,006XX N MICHIGAN AVE,0810,THEFT,OVER $500,RESTAURANT,2011,41.892753031,-87.624193896,"{'latitude': '41.892753031', 'longitude': '-87.624193896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7880566,2011-01-08T20:30:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7880617,2011-01-09T01:28:00.000,001XX E PEARSON ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,HOTEL/MOTEL,2011,41.897596067,-87.623218373,"{'latitude': '41.897596067', 'longitude': '-87.623218373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7881244,2011-01-09T14:20:00.000,007XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,2011,41.896343018,-87.624279065,"{'latitude': '41.896343018', 'longitude': '-87.624279065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7881277,2011-01-09T14:53:00.000,007XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.896010965,-87.624279065,"{'latitude': '41.896010965', 'longitude': '-87.624279065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7881282,2011-01-09T15:00:00.000,008XX N MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7881409,2011-01-09T17:40:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,2011,41.897982937,-87.624095634,"{'latitude': '41.897982937', 'longitude': '-87.624095634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7881422,2011-01-09T06:20:00.000,008XX N RUSH ST,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,2011,41.896985887,-87.625730156,"{'latitude': '41.896985887', 'longitude': '-87.625730156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7881425,2011-01-09T18:30:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7882353,2011-01-10T10:45:00.000,007XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,OTHER,2011,41.896010965,-87.624279065,"{'latitude': '41.896010965', 'longitude': '-87.624279065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7882522,2011-01-06T15:00:00.000,006XX N ST CLAIR ST,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,2011,41.893652298,-87.622725822,"{'latitude': '41.893652298', 'longitude': '-87.622725822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7885013,2011-01-11T18:06:00.000,008XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,RESTAURANT,2011,41.898767916,-87.624116333,"{'latitude': '41.898767916', 'longitude': '-87.624116333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7885022,2011-01-11T17:45:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7885112,2011-01-11T19:00:00.000,005XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.892096977,-87.624164426,"{'latitude': '41.892096977', 'longitude': '-87.624164426', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7886364,2011-01-09T15:00:00.000,008XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7890235,2011-01-01T21:30:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7890350,2011-01-14T15:45:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7890447,2011-01-13T18:50:00.000,007XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.895978014,-87.624275756,"{'latitude': '41.895978014', 'longitude': '-87.624275756', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7891275,2011-01-15T14:00:00.000,001XX E PEARSON ST,0820,THEFT,$500 AND UNDER,RESTAURANT,2011,41.897549644,-87.625477836,"{'latitude': '41.897549644', 'longitude': '-87.625477836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7891481,2011-01-15T17:20:00.000,009XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,2011,41.899410159,-87.624131266,"{'latitude': '41.899410159', 'longitude': '-87.624131266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7891498,2011-01-15T18:00:00.000,008XX N MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7891590,2011-01-06T17:43:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,2011,41.897837503,-87.624097243,"{'latitude': '41.897837503', 'longitude': '-87.624097243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7891880,2011-01-15T23:30:00.000,001XX E OHIO ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,2011,41.892559086,-87.623450463,"{'latitude': '41.892559086', 'longitude': '-87.623450463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7891951,2011-01-13T12:00:00.000,001XX E SUPERIOR ST,0890,THEFT,FROM BUILDING,RESTAURANT,2011,41.895748419,-87.623536353,"{'latitude': '41.895748419', 'longitude': '-87.623536353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7892422,2011-01-16T15:00:00.000,006XX N MICHIGAN AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,DEPARTMENT STORE,2011,41.894539838,-87.624243916,"{'latitude': '41.894539838', 'longitude': '-87.624243916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7892571,2011-01-16T03:00:00.000,001XX E SUPERIOR ST,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,2011,41.895729959,-87.624991059,"{'latitude': '41.895729959', 'longitude': '-87.624991059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7893438,2011-01-17T17:30:00.000,007XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.896343018,-87.624279065,"{'latitude': '41.896343018', 'longitude': '-87.624279065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7894343,2011-01-13T19:00:00.000,004XX N MICHIGAN AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,COMMERCIAL / BUSINESS OFFICE,2011,41.890384236,-87.624109917,"{'latitude': '41.890384236', 'longitude': '-87.624109917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7894589,2011-01-14T16:45:00.000,007XX N MICHIGAN AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,DEPARTMENT STORE,2011,41.896010965,-87.624279065,"{'latitude': '41.896010965', 'longitude': '-87.624279065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7894773,2011-01-18T12:20:00.000,007XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,2011,41.896343018,-87.624279065,"{'latitude': '41.896343018', 'longitude': '-87.624279065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7894919,2011-01-18T13:10:00.000,008XX N MICHIGAN AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,RESTAURANT,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7895037,2011-01-18T16:30:00.000,004XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,CONVENIENCE STORE,2011,41.890455604,-87.6241128,"{'latitude': '41.890455604', 'longitude': '-87.6241128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7895043,2011-01-17T16:30:00.000,006XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,2011,41.893140033,-87.624204307,"{'latitude': '41.893140033', 'longitude': '-87.624204307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7895148,2011-01-18T18:13:00.000,009XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.899410159,-87.624131266,"{'latitude': '41.899410159', 'longitude': '-87.624131266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7895155,2011-01-10T07:00:00.000,006XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,2011,41.894539838,-87.624243916,"{'latitude': '41.894539838', 'longitude': '-87.624243916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7895245,2011-01-18T16:45:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7895301,2011-01-18T20:09:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7895484,2011-01-16T23:00:00.000,006XX N RUSH ST,0810,THEFT,OVER $500,HOTEL/MOTEL,2011,41.892886736,-87.625404448,"{'latitude': '41.892886736', 'longitude': '-87.625404448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7896296,2011-01-19T11:00:00.000,001XX E CHESTNUT ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,HOTEL/MOTEL,2011,41.898371341,-87.625222661,"{'latitude': '41.898371341', 'longitude': '-87.625222661', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7896477,2011-01-07T17:23:00.000,001XX E OHIO ST,0810,THEFT,OVER $500,HOTEL/MOTEL,2011,41.892559086,-87.623450463,"{'latitude': '41.892559086', 'longitude': '-87.623450463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7896592,2011-01-19T13:20:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.897837503,-87.624097243,"{'latitude': '41.897837503', 'longitude': '-87.624097243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7897026,2011-01-19T17:30:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.897982937,-87.624095634,"{'latitude': '41.897982937', 'longitude': '-87.624095634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7897166,2011-01-19T17:50:00.000,005XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.891465732,-87.624153044,"{'latitude': '41.891465732', 'longitude': '-87.624153044', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7897170,2011-01-19T15:20:00.000,005XX N ST CLAIR ST,0890,THEFT,FROM BUILDING,RESTAURANT,2011,41.892093247,-87.622673321,"{'latitude': '41.892093247', 'longitude': '-87.622673321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7897173,2011-01-19T17:04:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.897837503,-87.624097243,"{'latitude': '41.897837503', 'longitude': '-87.624097243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7897198,2011-01-19T17:30:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.898767916,-87.624116333,"{'latitude': '41.898767916', 'longitude': '-87.624116333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7898471,2011-01-18T19:47:00.000,005XX N RUSH ST,1240,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,ATM (AUTOMATIC TELLER MACHINE),2011,41.891475999,-87.62537228,"{'latitude': '41.891475999', 'longitude': '-87.62537228', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7898486,2011-01-20T08:00:00.000,006XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,2011,41.894539838,-87.624243916,"{'latitude': '41.894539838', 'longitude': '-87.624243916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7898660,2011-01-20T14:02:00.000,006XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,2011,41.893140033,-87.624204307,"{'latitude': '41.893140033', 'longitude': '-87.624204307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7900287,2011-01-21T17:00:00.000,008XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,RESTAURANT,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7900949,2011-01-22T13:53:00.000,005XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.892017399,-87.624165306,"{'latitude': '41.892017399', 'longitude': '-87.624165306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7901049,2011-01-22T14:30:00.000,007XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.896343018,-87.624279065,"{'latitude': '41.896343018', 'longitude': '-87.624279065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7901152,2011-01-22T17:35:00.000,008XX N MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,DEPARTMENT STORE,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7901182,2011-01-22T17:00:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7901335,2011-01-22T20:45:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7901774,2011-01-23T12:15:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,2011,41.89804054,-87.624091323,"{'latitude': '41.89804054', 'longitude': '-87.624091323', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7901936,2011-01-23T17:18:00.000,009XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2011,41.899410159,-87.624131266,"{'latitude': '41.899410159', 'longitude': '-87.624131266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7902886,2011-01-19T12:00:00.000,006XX N MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,2011,41.894556302,-87.624243734,"{'latitude': '41.894556302', 'longitude': '-87.624243734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7903045,2011-01-06T13:20:00.000,001XX E DELAWARE PL,2011,NARCOTICS,MANU/DELIVER:BARBITUATES,VEHICLE NON-COMMERCIAL,2011,41.899227252,-87.622954198,"{'latitude': '41.899227252', 'longitude': '-87.622954198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7903616,2011-01-24T21:30:00.000,008XX N RUSH ST,0460,BATTERY,SIMPLE,STREET,2011,41.897027138,-87.625744393,"{'latitude': '41.897027138', 'longitude': '-87.625744393', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
